accuracy,both_correct,both_wrong,brier_score,calibration,calibration_error_10bin,feature_group,features,fn,fp,lambda_miss,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,policy_id,policy_only_correct,policy_type,positive_prevalence,pr_auc,premature_stopping_errors,regressions_avoided,roc_auc,sample_reduction_vs_n16_pct,schedule,scope,selected_on,selected_tau,start_prefix,tn,token_reduction_vs_n16_pct,total_samples,total_tokens,tp,unnecessary_continuations,unsafe_precision,unsafe_recall
0.79,77,21,0.0566451951793278,sigmoid,0.02135922752070933,A_consensus_only,consensus,93,17,10,4.9,3300.2,2.0,0,,0,100,1,ablation_A_consensus_only,2,,0.08266666666666667,0.43342681801320004,13,2,0.8644358355213804,69.375,,outer_fold,,0.03,,1359,64.39495043106471,490,330020,31,17,0.6458333333333334,0.25
0.79,77,21,0.05675598352809979,sigmoid,0.010642935521395756,B_vote_margin_only,vote_margin,124,0,10,4.83,3265.4,2.0,0,,0,100,1,ablation_B_vote_margin_only,2,,0.08266666666666667,0.3808769826532512,14,2,0.8632021286571643,69.8125,,outer_fold,,0.03,,1376,64.77039910841728,483,326540,0,16,0,0.0
0.79,77,21,0.07094700434096056,sigmoid,0.025502192201330105,C_entropy_only,answer_entropy,124,4,10,4.87,3288.1,2.0,0,,0,100,1,ablation_C_entropy_only,2,,0.08266666666666667,0.20680527994137152,13,2,0.7134723133908478,69.5625,,outer_fold,,0.075,,1372,64.5254943677304,487,328810,0,17,0.0,0.0
0.79,77,21,0.05826944875478016,sigmoid,0.03371626224863349,D_consensus_entropy_margin,consensus|answer_entropy|vote_margin,97,15,10,4.2,2882.76,2.0,0,,0,100,1,ablation_D_consensus_entropy_margin,2,,0.08266666666666667,0.43192994690811537,15,2,0.866753797824456,73.75,,outer_fold,,0.075,,1361,68.89860835848012,420,288276,27,10,0.6428571428571429,0.21774193548387097
0.78,77,22,0.056563820121907686,sigmoid,0.018961751687890237,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|recent_current_plurality_support,68,52,10,4.69,3356.36,2.0,0,,0,100,1,ablation_E_disagreement_stability,1,,0.08266666666666667,0.43287634466509994,13,1,0.9268391316579144,70.68749999999999,,outer_fold,,0.1,,1324,63.78905394485436,469,335636,56,12,0.5185185185185185,0.45161290322580644
0.78,77,22,0.05423918360134154,sigmoid,0.023230957800391198,F_all_original,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,68,50,10,4.88,3521.26,2.0,0,,0,100,1,ablation_F_all_original,1,,0.08266666666666667,0.557632885040938,12,1,0.9358706864216054,69.5,,outer_fold,,0.05,,1326,62.00998822946819,488,352126,56,12,0.5283018867924528,0.45161290322580644
0.78,77,22,0.05312487379241382,sigmoid,0.024923354398240324,G_original_plus_trajectory,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens|delta_consensus|delta_entropy|delta_vote_margin|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|top_two_count_gap|recent_current_plurality_support,63,50,10,4.73,3397.05,2.0,0,,0,100,1,ablation_G_original_plus_trajectory,1,,0.08266666666666667,0.5657833904397775,13,1,0.9367791166541636,70.4375,,outer_fold,,0.05,,1326,63.350059499984354,473,339705,61,11,0.5495495495495496,0.49193548387096775
0.85,85,14,0.04545599458723656,sigmoid,0.03638709965714121,A_consensus_only,consensus,70,24,10,4.22,2615.44,2.0,1,,1,100,2,ablation_A_consensus_only,0,,0.051333333333333335,0.25699578606757373,8,0,0.8215175548274634,73.625,,outer_fold,,0.05,,1399,69.90685927639035,422,261544,7,14,0.22580645161290322,0.09090909090909091
0.85,85,14,0.04125077884236085,sigmoid,0.025814315200775942,B_vote_margin_only,vote_margin,77,0,10,4.23,2610.96,2.0,1,,1,100,2,ablation_B_vote_margin_only,0,,0.051333333333333335,0.3047977719592802,8,0,0.8291016783638006,73.5625,,outer_fold,,0.05,,1423,69.95840596468823,423,261096,0,14,0,0.0
0.85,85,14,0.04798214373272722,sigmoid,0.03961984975879528,C_entropy_only,answer_entropy,77,2,10,4.53,2788.39,2.0,1,,1,100,2,ablation_C_entropy_only,0,,0.051333333333333335,0.14575426343040376,8,0,0.744092871288936,71.6875,,outer_fold,,0.075,,1421,67.91690397703411,453,278839,0,17,0.0,0.0
