feature,importance,importance_type,model,outer_fold
consensus,0.7251928547969718,standardized_coefficient,logistic,1
answer_entropy,0.5066680053542548,standardized_coefficient,logistic,1
vote_margin,-1.2272846485235462,standardized_coefficient,logistic,1
unique_answers,0.020195602991315866,standardized_coefficient,logistic,1
answer_stability,-1.1415368880436134,standardized_coefficient,logistic,1
invalid_extraction_rate,0.2614751318443999,standardized_coefficient,logistic,1
prefix,-0.9178799364760559,standardized_coefficient,logistic,1
cumulative_output_tokens,-0.277687249814092,standardized_coefficient,logistic,1
delta_consensus,0.07058278933599504,standardized_coefficient,logistic,1
delta_entropy,0.03284672993341994,standardized_coefficient,logistic,1
delta_vote_margin,0.1097915103220165,standardized_coefficient,logistic,1
plurality_changed_previous_step,-0.09804605240418457,standardized_coefficient,logistic,1
plurality_switches_so_far,-0.15471536078467077,standardized_coefficient,logistic,1
longest_stable_streak_so_far,0.6036618819377734,standardized_coefficient,logistic,1
top_two_count_gap,-3.3429448680824874,standardized_coefficient,logistic,1
recent_current_plurality_support,-0.1496360617299896,standardized_coefficient,logistic,1
consensus,-0.0023048032006131036,permutation_pr_auc_decrease,histgb,1
answer_entropy,0.0008503182236824447,permutation_pr_auc_decrease,histgb,1
vote_margin,0.19173651222886762,permutation_pr_auc_decrease,histgb,1
unique_answers,-0.001967816337717143,permutation_pr_auc_decrease,histgb,1
answer_stability,0.0363989625983923,permutation_pr_auc_decrease,histgb,1
invalid_extraction_rate,-0.003380238521121037,permutation_pr_auc_decrease,histgb,1
prefix,0.10283373121304647,permutation_pr_auc_decrease,histgb,1
cumulative_output_tokens,0.047628997087323564,permutation_pr_auc_decrease,histgb,1
delta_consensus,0.0004232606757759383,permutation_pr_auc_decrease,histgb,1
delta_entropy,0.0018617600516469767,permutation_pr_auc_decrease,histgb,1
delta_vote_margin,0.0002156563164019687,permutation_pr_auc_decrease,histgb,1
plurality_changed_previous_step,0.0004776943903187725,permutation_pr_auc_decrease,histgb,1
plurality_switches_so_far,-0.0006642353896272546,permutation_pr_auc_decrease,histgb,1
