correct_at_stop,hybrid_stop_budget,invalid_extraction_driven_uncertainty,invalid_rate_at_stop,margin_missed_recovery_opportunity,margin_stop_budget,margin_to_hybrid_override,n16_correct,plurality_switches_t2_t16,policy_id,premature_stop_with_missed_recovery,primary_category,question_index,regression_avoided,safe_early_stop,stable_wrong_trajectory,stop_budget,successful_hybrid_intervention,unnecessary_continuation,unstable_trajectory
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,4,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,8,False,True,False,3,False,False,False
False,16,True,0.09090909090909091,False,16,False,False,4,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,9,False,True,False,11,False,False,True
False,16,True,0.375,False,2,True,False,0,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,11,False,False,True,16,False,True,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,16,False,True,False,3,False,False,False
True,16,True,0.08333333333333333,False,16,False,True,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,21,False,True,False,12,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,28,False,True,False,3,False,False,False
False,16,False,0.0,False,16,False,False,2,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,33,False,False,False,16,False,True,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,42,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,45,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,48,False,True,False,3,False,False,False
False,16,False,0.0,False,16,False,False,6,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,62,False,True,False,11,False,False,True
False,4,False,0.0,False,4,False,False,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,63,False,True,False,5,False,False,False
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,67,False,True,False,7,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,72,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,74,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,76,False,True,False,3,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,80,False,True,True,3,False,False,False
True,2,True,0.25,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,88,False,True,False,4,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,90,False,True,True,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,102,False,True,False,3,False,False,False
False,3,True,0.5625,False,2,True,False,1,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,103,False,False,False,16,False,True,False
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,107,False,True,False,5,False,False,False
False,6,True,0.5625,False,5,True,False,1,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,109,False,False,False,16,False,True,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,117,False,True,False,3,False,False,False
True,3,True,0.4,False,2,True,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,118,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,128,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,141,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,143,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,148,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,149,False,True,False,3,False,False,False
False,4,True,0.6666666666666666,False,3,True,False,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,150,False,True,False,6,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,167,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,173,False,True,False,3,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,177,False,True,True,3,False,False,False
True,2,True,0.2222222222222222,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,179,False,True,False,9,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,181,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,195,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,209,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,211,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,221,False,True,False,3,False,False,False
False,4,False,0.0,False,4,False,False,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,222,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,225,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,227,False,True,False,3,False,False,False
True,14,True,0.5,False,14,False,True,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,228,False,True,False,10,False,False,False
False,16,True,0.25,False,16,False,False,5,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,236,False,False,False,16,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,251,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,253,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,254,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,257,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,260,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,261,False,True,False,3,False,False,False
False,2,True,0.1,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,264,False,True,True,10,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,273,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,False,3,safe_logistic_start2_every_sample_lambda10,False,regression_avoided,284,True,True,False,3,False,False,True
