question_index,reference_answer,selected_answer_n1,vote_key_n1,tie_n1,correct_n1,selected_answer_n2,vote_key_n2,tie_n2,correct_n2,selected_answer_n4,vote_key_n4,tie_n4,correct_n4,selected_answer_n8,vote_key_n8,tie_n8,correct_n8,selected_answer_n16,vote_key_n16,tie_n16,correct_n16,category
0,"\left( 3, \frac{\pi}{2} \right)","\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",False,True,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",False,True,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",False,True,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",False,True,"\left(3, \frac{\pi}{2}\right)","sympy:(3, pi/2)",False,True,stable_correct
1,p - q,p - q,sympy:p - q,False,True,p - q,sympy:p - q,False,True,p - q,sympy:p - q,False,True,p - q,sympy:p - q,False,True,p - q,sympy:p - q,False,True,stable_correct
2,\frac{14}{3},\frac{14}{3},sympy:14/3,False,True,\frac{14}{3},sympy:14/3,False,True,\frac{14}{3},sympy:14/3,False,True,\frac{14}{3},sympy:14/3,False,True,\frac{14}{3},sympy:14/3,False,True,stable_correct
3,9,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,stable_correct
4,\text{Evelyn},Evelyn,sympy:E*e*l*n*v*y,False,True,Evelyn,sympy:E*e*l*n*v*y,False,True,Evelyn,sympy:E*e*l*n*v*y,False,True,Evelyn,sympy:E*e*l*n*v*y,False,True,Evelyn,sympy:E*e*l*n*v*y,False,True,stable_correct
5,42,42,sympy:42,False,True,42,sympy:42,False,True,42,sympy:42,False,True,42,sympy:42,False,True,42,sympy:42,False,True,stable_correct
6,27,27,sympy:27,False,True,27,sympy:27,False,True,27,sympy:27,False,True,27,sympy:27,False,True,27,sympy:27,False,True,stable_correct
7,90^\circ,74,sympy:74,False,False,74,sympy:74,True,False,74,sympy:74,True,False,90,sympy:90,False,True,90,sympy:90,False,True,recovered
8,3\sqrt{13},3\sqrt{13},sympy:3*sqrt(13),False,True,3\sqrt{13},sympy:3*sqrt(13),False,True,3\sqrt{13},sympy:3*sqrt(13),False,True,3\sqrt{13},sympy:3*sqrt(13),False,True,3\sqrt{13},sympy:3*sqrt(13),False,True,stable_correct
9,4,5,sympy:5,False,False,5,sympy:5,True,False,1,sympy:1,False,False,4,sympy:4,True,True,1,sympy:1,False,False,regressed_or_unstable
10,2220,2220,sympy:2220,False,True,2220,sympy:2220,False,True,2220,sympy:2220,False,True,2220,sympy:2220,False,True,2220,sympy:2220,False,True,stable_correct
11,\frac{3}{56},,,False,False,\frac{8}{63},sympy:8/63,False,False,\frac{8}{63},sympy:8/63,True,False,\frac{8}{63},sympy:8/63,True,False,\frac{8}{63},sympy:8/63,True,False,stable_wrong
12,284,284,sympy:284,False,True,284,sympy:284,False,True,284,sympy:284,False,True,284,sympy:284,False,True,284,sympy:284,False,True,stable_correct
13,5,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,stable_correct
14,\sqrt{51},10,sympy:10,False,False,10,sympy:10,True,False,10,sympy:10,False,False,10,sympy:10,False,False,10,sympy:10,False,False,stable_wrong
