question_index,prefix,plurality_vote_key,plurality_correct,valid_answers,consensus,answer_entropy,vote_margin,unique_answers,answer_stability,invalid_extraction_rate,cumulative_output_tokens,delta_consensus,delta_entropy,delta_vote_margin,plurality_changed_previous_step,plurality_switches_so_far,longest_stable_streak_so_far,top_two_count_gap,recent_current_plurality_support,answer_change_risk,missed_recovery_risk,regression_risk,safe_stop,unsafe_stop
0,1,"sympy:(3, pi/2)",1,1,1.0,-0.0,1.0,1,1,0.0,275,0.0,0.0,0.0,0,0,1,1,1.0,0,0,0,1,0
0,2,"sympy:(3, pi/2)",1,2,1.0,-0.0,1.0,1,2,0.0,635,0.0,0.0,0.0,0,0,2,2,1.0,0,0,0,1,0
0,3,"sympy:(3, pi/2)",1,3,1.0,-0.0,1.0,1,3,0.0,992,0.0,0.0,0.0,0,0,3,3,1.0,0,0,0,1,0
0,4,"sympy:(3, pi/2)",1,4,1.0,-0.0,1.0,1,4,0.0,1281,0.0,0.0,0.0,0,0,4,4,1.0,0,0,0,1,0
0,5,"sympy:(3, pi/2)",1,5,1.0,-0.0,1.0,1,5,0.0,1568,0.0,0.0,0.0,0,0,5,5,1.0,0,0,0,1,0
0,6,"sympy:(3, pi/2)",1,6,1.0,-0.0,1.0,1,6,0.0,1893,0.0,0.0,0.0,0,0,6,6,1.0,0,0,0,1,0
0,7,"sympy:(3, pi/2)",1,7,1.0,-0.0,1.0,1,7,0.0,2164,0.0,0.0,0.0,0,0,7,7,1.0,0,0,0,1,0
0,8,"sympy:(3, pi/2)",1,8,1.0,-0.0,1.0,1,8,0.0,2410,0.0,0.0,0.0,0,0,8,8,1.0,0,0,0,1,0
0,9,"sympy:(3, pi/2)",1,9,1.0,-0.0,1.0,1,9,0.0,2736,0.0,0.0,0.0,0,0,9,9,1.0,0,0,0,1,0
0,10,"sympy:(3, pi/2)",1,10,1.0,-0.0,1.0,1,10,0.0,3035,0.0,0.0,0.0,0,0,10,10,1.0,0,0,0,1,0
0,11,"sympy:(3, pi/2)",1,11,1.0,-0.0,1.0,1,11,0.0,3311,0.0,0.0,0.0,0,0,11,11,1.0,0,0,0,1,0
0,12,"sympy:(3, pi/2)",1,12,1.0,-0.0,1.0,1,12,0.0,3565,0.0,0.0,0.0,0,0,12,12,1.0,0,0,0,1,0
0,13,"sympy:(3, pi/2)",1,13,1.0,-0.0,1.0,1,13,0.0,3918,0.0,0.0,0.0,0,0,13,13,1.0,0,0,0,1,0
0,14,"sympy:(3, pi/2)",1,14,1.0,-0.0,1.0,1,14,0.0,4260,0.0,0.0,0.0,0,0,14,14,1.0,0,0,0,1,0
0,15,"sympy:(3, pi/2)",1,15,1.0,-0.0,1.0,1,15,0.0,4636,0.0,0.0,0.0,0,0,15,15,1.0,0,0,0,1,0
0,16,"sympy:(3, pi/2)",1,16,1.0,-0.0,1.0,1,16,0.0,4955,0.0,0.0,0.0,0,0,16,16,1.0,0,0,0,1,0
1,1,sympy:p - q,1,1,1.0,-0.0,1.0,1,1,0.0,560,0.0,0.0,0.0,0,0,1,1,1.0,0,0,0,1,0
1,2,sympy:p - q,1,2,1.0,-0.0,1.0,1,2,0.0,1087,0.0,0.0,0.0,0,0,2,2,1.0,0,0,0,1,0
1,3,sympy:p - q,1,3,1.0,-0.0,1.0,1,3,0.0,1743,0.0,0.0,0.0,0,0,3,3,1.0,0,0,0,1,0
1,4,sympy:p - q,1,4,1.0,-0.0,1.0,1,4,0.0,2443,0.0,0.0,0.0,0,0,4,4,1.0,0,0,0,1,0
1,5,sympy:p - q,1,5,1.0,-0.0,1.0,1,5,0.0,3050,0.0,0.0,0.0,0,0,5,5,1.0,0,0,0,1,0
1,6,sympy:p - q,1,6,1.0,-0.0,1.0,1,6,0.0,3668,0.0,0.0,0.0,0,0,6,6,1.0,0,0,0,1,0
1,7,sympy:p - q,1,7,1.0,-0.0,1.0,1,7,0.0,4225,0.0,0.0,0.0,0,0,7,7,1.0,0,0,0,1,0
1,8,sympy:p - q,1,8,1.0,-0.0,1.0,1,8,0.0,4900,0.0,0.0,0.0,0,0,8,8,1.0,0,0,0,1,0
1,9,sympy:p - q,1,9,1.0,-0.0,1.0,1,9,0.0,5415,0.0,0.0,0.0,0,0,9,9,1.0,0,0,0,1,0
1,10,sympy:p - q,1,10,1.0,-0.0,1.0,1,10,0.0,6028,0.0,0.0,0.0,0,0,10,10,1.0,0,0,0,1,0
1,11,sympy:p - q,1,11,1.0,-0.0,1.0,1,11,0.0,6721,0.0,0.0,0.0,0,0,11,11,1.0,0,0,0,1,0
1,12,sympy:p - q,1,12,1.0,-0.0,1.0,1,12,0.0,7317,0.0,0.0,0.0,0,0,12,12,1.0,0,0,0,1,0
1,13,sympy:p - q,1,13,1.0,-0.0,1.0,1,13,0.0,7989,0.0,0.0,0.0,0,0,13,13,1.0,0,0,0,1,0
1,14,sympy:p - q,1,14,1.0,-0.0,1.0,1,14,0.0,8555,0.0,0.0,0.0,0,0,14,14,1.0,0,0,0,1,0
1,15,sympy:p - q,1,15,1.0,-0.0,1.0,1,15,0.0,9103,0.0,0.0,0.0,0,0,15,15,1.0,0,0,0,1,0
1,16,sympy:p - q,1,16,1.0,-0.0,1.0,1,16,0.0,9629,0.0,0.0,0.0,0,0,16,16,1.0,0,0,0,1,0
2,1,sympy:14/3,1,1,1.0,-0.0,1.0,1,1,0.0,520,0.0,0.0,0.0,0,0,1,1,1.0,0,0,0,1,0
2,2,sympy:14/3,1,2,1.0,-0.0,1.0,1,2,0.0,1038,0.0,0.0,0.0,0,0,2,2,1.0,0,0,0,1,0
2,3,sympy:14/3,1,3,1.0,-0.0,1.0,1,3,0.0,1543,0.0,0.0,0.0,0,0,3,3,1.0,0,0,0,1,0
2,4,sympy:14/3,1,4,1.0,-0.0,1.0,1,4,0.0,2026,0.0,0.0,0.0,0,0,4,4,1.0,0,0,0,1,0
2,5,sympy:14/3,1,5,1.0,-0.0,1.0,1,5,0.0,2514,0.0,0.0,0.0,0,0,5,5,1.0,0,0,0,1,0
2,6,sympy:14/3,1,6,1.0,-0.0,1.0,1,6,0.0,3006,0.0,0.0,0.0,0,0,6,6,1.0,0,0,0,1,0
2,7,sympy:14/3,1,7,1.0,-0.0,1.0,1,7,0.0,3498,0.0,0.0,0.0,0,0,7,7,1.0,0,0,0,1,0
2,8,sympy:14/3,1,8,1.0,-0.0,1.0,1,8,0.0,3968,0.0,0.0,0.0,0,0,8,8,1.0,0,0,0,1,0
2,9,sympy:14/3,1,9,1.0,-0.0,1.0,1,9,0.0,4498,0.0,0.0,0.0,0,0,9,9,1.0,0,0,0,1,0
2,10,sympy:14/3,1,10,1.0,-0.0,1.0,1,10,0.0,5013,0.0,0.0,0.0,0,0,10,10,1.0,0,0,0,1,0
2,11,sympy:14/3,1,11,1.0,-0.0,1.0,1,11,0.0,5501,0.0,0.0,0.0,0,0,11,11,1.0,0,0,0,1,0
2,12,sympy:14/3,1,12,1.0,-0.0,1.0,1,12,0.0,5974,0.0,0.0,0.0,0,0,12,12,1.0,0,0,0,1,0
2,13,sympy:14/3,1,13,1.0,-0.0,1.0,1,13,0.0,6452,0.0,0.0,0.0,0,0,13,13,1.0,0,0,0,1,0
