coefficient_sd_across_folds,feature,model,outer_fold,permutation_ap_decrease,permutation_ap_sd,permutation_ap_sd_across_folds,repeats,standardized_coefficient
,consensus,histgb,1,0.026622157908735823,0.043407606265555586,,5,
,answer_entropy,histgb,1,0.008090878644306737,0.0041603915095146105,,5,
,vote_margin,histgb,1,0.11932797448249532,0.04129481474005333,,5,
,unique_answers,histgb,1,-0.005086327491383669,0.0054025931637214294,,5,
,answer_stability,histgb,1,0.05498912796052709,0.036067326967701624,,5,
,invalid_extraction_rate,histgb,1,0.001660321794864228,0.005512111552803489,,5,
,prefix,histgb,1,0.036309566515635334,0.015210318282558886,,5,
,cumulative_output_tokens,histgb,1,-0.012528202997235805,0.008025747377967003,,5,
,consensus,histgb,2,-0.02274910791483876,0.002325851238879602,,5,
,answer_entropy,histgb,2,0.010379506239590252,0.00967487680678711,,5,
,vote_margin,histgb,2,0.16304401348166803,0.013572585294069973,,5,
,unique_answers,histgb,2,0.0010032143625765878,0.0019573691702395564,,5,
,answer_stability,histgb,2,0.038262790851764025,0.02316194622799035,,5,
,invalid_extraction_rate,histgb,2,0.006693145224727875,0.015300973824268413,,5,
,prefix,histgb,2,0.05880828807567923,0.007793934768884665,,5,
,cumulative_output_tokens,histgb,2,0.050874068445017386,0.011496221249302198,,5,
,consensus,histgb,3,0.0069326567309887345,0.007384914855160623,,5,
,answer_entropy,histgb,3,-0.018611655054610952,0.004244181298168618,,5,
,vote_margin,histgb,3,0.09163013347458657,0.0060541204523104535,,5,
,unique_answers,histgb,3,-0.014839843128071495,0.0018400782903245424,,5,
,answer_stability,histgb,3,0.053064639751966826,0.016028127656366995,,5,
,invalid_extraction_rate,histgb,3,0.005151129400497595,0.007106919590493199,,5,
,prefix,histgb,3,0.0034631808682743627,0.018368026066444942,,5,
,cumulative_output_tokens,histgb,3,0.025294477089754703,0.01230649602656141,,5,
,consensus,histgb,4,-0.001419797456278804,0.006973522717231281,,5,
,answer_entropy,histgb,4,-0.003941845659308487,0.009102128307588619,,5,
,vote_margin,histgb,4,0.04900262853576988,0.016467907517282592,,5,
,unique_answers,histgb,4,4.252467572390395e-05,9.85133960761538e-06,,5,
,answer_stability,histgb,4,-0.009219481000402157,0.014551120808616742,,5,
,invalid_extraction_rate,histgb,4,-0.019332832181128922,0.0022699839787335818,,5,
,prefix,histgb,4,0.01074660656566043,0.008190061625057983,,5,
,cumulative_output_tokens,histgb,4,-0.000935052613618656,0.013162192785473868,,5,
,consensus,histgb,5,0.030312339299765262,0.003098281783833648,,5,
,answer_entropy,histgb,5,0.002400634307801813,0.0011728226921211126,,5,
,vote_margin,histgb,5,0.07112348115505532,0.01624762714576931,,5,
,unique_answers,histgb,5,0.002907385745997626,0.0016633973775778672,,5,
,answer_stability,histgb,5,0.014713468116565103,0.00916483755164636,,5,
,invalid_extraction_rate,histgb,5,-0.007466113414178671,0.004879794743283023,,5,
,prefix,histgb,5,0.023118853586343302,0.013088863609714384,,5,
,cumulative_output_tokens,histgb,5,0.014785108125030755,0.011560105293284021,,5,
,consensus,histgb,all,0.007939649713674451,,0.019390649719646134,,
,answer_entropy,histgb,all,-0.0003364963044441274,,0.010395433750964878,,
,vote_margin,histgb,all,0.09882564622591501,,0.039612782285660134,,
,unique_answers,histgb,all,-0.0031946091670314093,,0.006395704371628289,,
,answer_stability,histgb,all,0.030362109136084177,,0.02447814522224917,,
,invalid_extraction_rate,histgb,all,-0.0026588698350435785,,0.009677213454512812,,
,prefix,histgb,all,0.02648929912231853,,0.019648659458280364,,
,cumulative_output_tokens,histgb,all,0.015498079609789675,,0.02192468321063992,,
,consensus,logistic,1,,,,,0.005352632100455981
,answer_entropy,logistic,1,,,,,0.14435538744846008
,vote_margin,logistic,1,,,,,-1.1825449528993
,unique_answers,logistic,1,,,,,0.0
,answer_stability,logistic,1,,,,,-1.050735935225939
,invalid_extraction_rate,logistic,1,,,,,-0.01732712065980235
,prefix,logistic,1,,,,,-1.560662393765848
,cumulative_output_tokens,logistic,1,,,,,0.8586117944164321
,consensus,logistic,2,,,,,0.0
,answer_entropy,logistic,2,,,,,0.0
,vote_margin,logistic,2,,,,,-1.062674159130295
,unique_answers,logistic,2,,,,,0.0
,answer_stability,logistic,2,,,,,-0.30241560041879423
,invalid_extraction_rate,logistic,2,,,,,0.07361891155127437
,prefix,logistic,2,,,,,-0.559012210240829
,cumulative_output_tokens,logistic,2,,,,,0.0
,consensus,logistic,3,,,,,0.0
,answer_entropy,logistic,3,,,,,0.0
,vote_margin,logistic,3,,,,,-0.9627530369543366
,unique_answers,logistic,3,,,,,-0.08174873948300365
,answer_stability,logistic,3,,,,,-0.4836356848145344
,invalid_extraction_rate,logistic,3,,,,,0.0
,prefix,logistic,3,,,,,-0.6429573610994437
,cumulative_output_tokens,logistic,3,,,,,0.0
,consensus,logistic,4,,,,,0.0
,answer_entropy,logistic,4,,,,,0.6059974003461283
,vote_margin,logistic,4,,,,,-0.9633484844444575
,unique_answers,logistic,4,,,,,0.0
,answer_stability,logistic,4,,,,,-0.4748200146697201
,invalid_extraction_rate,logistic,4,,,,,0.17651066126200227
,prefix,logistic,4,,,,,-1.611318759481169
,cumulative_output_tokens,logistic,4,,,,,0.20842760184739625
,consensus,logistic,5,,,,,-1.3197631014099378
,answer_entropy,logistic,5,,,,,0.835329442952484
,vote_margin,logistic,5,,,,,-0.1658654444849001
,unique_answers,logistic,5,,,,,-0.533216282448422
,answer_stability,logistic,5,,,,,-0.5361807886486832
,invalid_extraction_rate,logistic,5,,,,,-0.4706446712447974
,prefix,logistic,5,,,,,-1.9556156357796617
,cumulative_output_tokens,logistic,5,,,,,0.7095628286561326
0.5284445700634091,consensus,logistic,all,,,,,-0.26288209386189637
