question_index,paired_category,premature_stop_paired_recovery,stable_wrong_consensus_descriptive,invalid_influenced_descriptive,unstable_trajectory_descriptive,stopping_sample
0,both_correct,False,False,False,False,2
1,both_correct,False,False,False,False,2
2,both_correct,False,False,False,False,2
3,both_correct,False,False,False,False,2
4,both_correct,False,False,False,False,2
5,both_correct,False,False,False,False,2
6,both_correct,False,False,False,False,2
7,both_correct,False,False,False,False,2
8,both_correct,False,False,False,False,2
9,both_wrong,False,True,True,False,2
10,both_correct,False,False,False,False,2
11,both_wrong,False,True,False,False,2
12,both_correct,False,False,False,True,4
13,both_correct,False,False,False,False,2
14,both_wrong,False,True,False,False,2
15,both_correct,False,False,False,False,2
16,both_correct,False,False,False,False,2
17,both_correct,False,False,False,True,16
18,both_wrong,False,False,False,True,4
19,both_correct,False,False,False,False,2
20,both_correct,False,False,False,False,2
21,both_correct,False,False,True,True,16
22,both_correct,False,False,False,False,2
23,both_correct,False,False,False,False,2
24,both_correct,False,False,False,True,16
25,both_wrong,False,True,True,True,16
26,both_wrong,False,True,True,True,16
27,both_correct,False,False,False,False,2
28,both_correct,False,False,False,False,2
29,both_correct,False,False,False,False,2
30,both_correct,False,False,False,False,2
31,both_correct,False,False,False,False,2
32,both_correct,False,False,False,False,2
33,both_wrong,False,False,False,True,2
34,both_correct,False,False,False,False,2
35,both_correct,False,False,False,False,2
36,both_correct,False,False,True,False,2
37,both_correct,False,False,False,False,2
38,both_correct,False,False,False,False,2
39,both_correct,False,False,False,False,2
40,both_correct,False,False,False,False,2
41,both_wrong,False,True,False,True,16
42,both_correct,False,False,False,False,2
43,both_wrong,False,True,True,True,16
44,both_correct,False,False,False,False,2
45,both_correct,False,False,False,False,2
46,both_correct,False,False,True,False,2
47,both_correct,False,False,False,False,2
48,both_correct,False,False,False,False,2
49,both_correct,False,False,False,False,2
50,both_correct,False,False,False,False,2
51,both_correct,False,False,True,False,2
52,both_correct,False,False,False,False,2
53,both_correct,False,False,False,False,2
54,both_correct,False,False,False,False,2
55,both_correct,False,False,False,False,2
56,both_correct,False,False,False,False,2
57,both_correct,False,False,False,False,2
58,both_correct,False,False,False,False,2
59,both_correct,False,False,False,False,2
60,both_wrong,False,True,True,False,2
61,both_correct,False,False,False,False,2
62,both_correct,False,False,False,False,2
63,both_wrong,False,True,False,False,2
64,fixed_only,True,False,True,True,2
65,both_correct,False,False,False,False,2
66,both_correct,False,False,False,False,2
67,both_correct,False,False,False,False,2
68,both_correct,False,False,False,False,2
69,both_correct,False,False,False,False,2
70,both_correct,False,False,False,False,2
71,both_correct,False,False,False,False,4
72,both_correct,False,False,False,False,2
73,both_correct,False,False,False,False,2
74,both_correct,False,False,False,False,2
75,both_correct,False,False,False,False,2
76,both_correct,False,False,False,False,2
77,both_correct,False,False,False,False,2
78,both_correct,False,False,False,False,2
79,both_correct,False,False,False,False,2
80,both_wrong,False,True,False,True,4
81,both_correct,False,False,False,False,2
82,both_wrong,False,False,False,True,2
83,both_correct,False,False,False,False,2
84,both_correct,False,False,False,False,2
85,both_correct,False,False,False,False,2
86,both_correct,False,False,False,False,2
87,both_correct,False,False,False,False,2
88,both_correct,False,False,False,False,2
89,both_correct,False,False,False,False,2
90,adaptive_only,False,False,False,True,2
91,both_correct,False,False,False,False,2
92,both_correct,False,False,False,False,2
93,both_correct,False,False,False,False,2
94,both_wrong,False,True,False,False,2
95,both_correct,False,False,False,False,2
96,both_wrong,False,False,True,True,3
97,both_correct,False,False,False,False,2
98,both_correct,False,False,False,False,2
99,both_wrong,False,True,False,False,2
100,both_wrong,False,True,False,True,4
101,both_wrong,False,True,True,False,16
102,both_correct,False,False,False,False,2
103,both_wrong,False,False,True,True,2
104,both_wrong,False,False,True,True,2
105,both_wrong,False,True,True,True,16
106,both_correct,False,False,False,False,2
107,both_correct,False,False,False,False,2
108,both_correct,False,False,False,False,2
109,both_wrong,False,True,True,False,2
110,both_wrong,False,True,True,False,2
111,both_correct,False,False,False,False,2
112,both_correct,False,False,False,False,2
113,both_correct,False,False,False,False,2
114,both_correct,False,False,False,False,2
115,both_wrong,False,True,False,True,16
116,both_correct,False,False,False,False,2
117,both_correct,False,False,False,False,2
118,both_correct,False,False,True,False,2
119,both_correct,False,False,False,False,2
120,both_wrong,False,True,False,False,16
121,both_correct,False,False,False,False,2
122,both_correct,False,False,False,False,2
123,both_wrong,False,True,True,False,2
124,both_correct,False,False,False,False,2
125,both_correct,False,False,False,False,2
126,both_wrong,False,False,True,True,2
127,both_correct,False,False,False,False,2
128,both_correct,False,False,False,False,2
129,both_correct,False,False,False,True,16
130,both_correct,False,False,False,False,2
131,both_correct,False,False,False,False,2
132,both_correct,False,False,False,False,2
133,both_correct,False,False,False,False,2
134,both_correct,False,False,False,False,2
135,both_correct,False,False,False,False,2
136,both_correct,False,False,True,False,2
137,both_correct,False,False,False,False,2
138,both_wrong,False,True,True,True,5
139,both_correct,False,False,True,False,2
140,both_correct,False,False,False,False,2
141,both_correct,False,False,False,False,4
142,both_wrong,False,True,False,False,2
143,both_correct,False,False,False,False,2
144,both_correct,False,False,False,False,2
145,both_correct,False,False,False,False,2
146,both_correct,False,False,False,False,2
147,both_wrong,False,False,True,True,2
148,both_correct,False,False,False,False,2
149,both_correct,False,False,False,False,4
150,both_wrong,False,True,True,False,6
151,both_correct,False,False,True,True,16
152,both_wrong,False,True,True,True,16
153,both_correct,False,False,False,False,2
154,both_wrong,False,True,False,True,16
155,both_correct,False,False,False,False,2
156,both_wrong,False,True,True,False,2
157,both_correct,False,False,False,False,2
158,both_correct,False,False,False,False,2
159,both_correct,False,False,False,False,2
160,both_correct,False,False,False,False,4
161,both_correct,False,False,False,False,2
162,both_correct,False,False,False,False,2
163,fixed_only,True,False,False,True,2
164,both_wrong,False,False,True,True,2
165,both_correct,False,False,False,True,4
166,both_correct,False,False,False,False,2
167,both_correct,False,False,False,False,2
168,both_wrong,False,True,True,True,16
169,both_correct,False,False,False,False,2
170,both_wrong,False,False,True,True,2
171,both_correct,False,False,False,False,2
172,both_correct,False,False,False,False,2
173,both_correct,False,False,False,False,2
174,both_correct,False,False,False,False,2
175,both_correct,False,False,False,False,2
176,both_correct,False,False,False,False,6
177,both_wrong,False,True,False,False,2
178,both_correct,False,False,False,False,2
179,both_correct,False,False,True,True,2
180,fixed_only,True,False,False,True,4
181,both_correct,False,False,False,False,2
182,both_correct,False,False,False,False,2
183,both_correct,False,False,False,False,2
184,both_wrong,False,True,True,True,16
185,both_correct,False,False,False,False,2
186,both_correct,False,False,False,False,2
187,both_correct,False,False,False,False,2
188,both_wrong,False,True,True,False,4
189,both_wrong,False,True,True,True,16
190,both_correct,False,False,False,True,16
191,both_correct,False,False,False,False,2
192,both_correct,False,False,False,False,2
193,both_correct,False,False,False,False,2
194,both_correct,False,False,False,False,4
195,both_correct,False,False,False,False,2
196,both_correct,False,False,False,False,2
197,both_correct,False,False,False,False,2
198,both_correct,False,False,False,False,2
199,both_correct,False,False,False,False,2
200,both_correct,False,False,False,False,2
201,both_correct,False,False,False,False,2
202,both_correct,False,False,False,False,2
203,both_correct,False,False,False,False,2
204,both_wrong,False,True,False,False,2
205,both_correct,False,False,False,False,2
206,both_correct,False,False,False,False,2
207,both_correct,False,False,False,False,2
208,both_correct,False,False,False,False,2
209,both_correct,False,False,False,False,2
210,both_correct,False,False,False,True,4
211,both_correct,False,False,False,False,2
212,both_correct,False,False,False,False,2
213,both_wrong,False,True,False,False,2
214,both_correct,False,False,False,True,16
215,both_correct,False,False,False,False,2
216,both_correct,False,False,False,False,4
217,both_wrong,False,True,True,False,2
218,both_correct,False,False,False,False,2
219,both_wrong,False,True,False,True,16
220,both_wrong,False,True,False,False,2
221,both_correct,False,False,False,False,2
222,both_wrong,False,True,False,True,16
223,both_correct,False,False,False,True,16
224,both_wrong,False,True,False,False,4
225,both_correct,False,False,False,False,2
226,both_correct,False,False,False,False,2
227,both_correct,False,False,False,False,2
228,fixed_only,True,False,True,True,2
229,both_correct,False,False,False,False,2
230,both_correct,False,False,False,False,4
231,both_correct,False,False,False,False,2
232,both_correct,False,False,False,False,2
233,both_correct,False,False,False,False,2
234,both_correct,False,False,False,False,4
235,both_correct,False,False,False,False,2
236,both_wrong,False,True,True,True,16
237,both_correct,False,False,False,False,2
238,both_correct,False,False,False,False,2
239,both_wrong,False,False,True,False,16
240,both_wrong,False,True,False,True,16
241,both_correct,False,False,False,False,2
242,both_wrong,False,True,False,False,2
243,both_correct,False,False,False,False,2
244,both_correct,False,False,False,True,4
245,both_wrong,False,False,True,True,2
246,both_correct,False,False,False,False,2
247,both_correct,False,False,False,False,2
248,both_wrong,False,False,True,False,16
249,both_wrong,False,True,False,False,2
250,both_correct,False,False,False,False,2
251,both_correct,False,False,False,False,2
252,both_correct,False,False,False,False,2
253,both_correct,False,False,False,False,2
254,both_correct,False,False,False,False,2
255,both_correct,False,False,False,False,2
256,both_correct,False,False,False,False,2
257,both_correct,False,False,False,False,2
258,both_correct,False,False,False,False,2
259,both_correct,False,False,False,False,2
260,both_correct,False,False,False,False,2
261,both_correct,False,False,False,False,2
262,both_correct,False,False,False,False,2
263,both_correct,False,False,False,False,2
264,both_wrong,False,True,False,True,16
265,both_correct,False,False,False,False,2
266,both_correct,False,False,False,False,2
267,both_correct,False,False,False,False,2
268,both_correct,False,False,False,False,2
269,both_correct,False,False,False,False,2
270,both_correct,False,False,False,False,2
271,both_correct,False,False,False,False,2
272,both_correct,False,False,False,False,2
273,both_correct,False,False,False,False,2
274,both_wrong,False,True,False,False,4
275,both_correct,False,False,False,False,2
276,both_correct,False,False,False,True,2
277,both_correct,False,False,False,False,2
278,both_correct,False,False,False,False,2
279,fixed_only,True,False,False,True,2
280,both_correct,False,False,False,False,2
281,both_correct,False,False,False,False,4
282,both_wrong,False,True,False,False,2
283,both_correct,False,False,False,False,2
284,both_correct,False,False,True,True,16
285,both_wrong,False,True,True,False,16
286,both_wrong,False,True,True,False,16
287,both_correct,False,False,False,False,2
288,fixed_only,True,False,True,True,3
289,both_correct,False,False,False,False,2
290,both_correct,False,False,False,False,2
291,both_correct,False,False,False,False,4
292,both_wrong,False,True,True,False,2
293,both_correct,False,False,False,False,2
294,both_correct,False,False,True,True,12
295,both_wrong,False,True,True,True,16
296,adaptive_only,False,False,True,True,2
297,both_correct,False,False,False,False,2
298,both_correct,False,False,True,False,8
299,both_correct,False,False,False,False,2
300,both_correct,False,False,False,False,2
301,both_wrong,False,True,False,True,14
302,both_wrong,False,True,True,False,16
303,both_wrong,False,True,False,False,2
304,both_correct,False,False,False,False,2
305,both_correct,False,False,False,False,2
306,both_wrong,False,True,False,False,2
307,both_correct,False,False,False,False,2
308,both_wrong,False,False,True,True,2
309,both_wrong,False,True,True,False,2
310,both_correct,False,False,False,False,2
311,both_correct,False,False,False,False,2
312,both_correct,False,False,False,False,2
313,both_correct,False,False,False,False,2
314,both_correct,False,False,False,False,2
315,both_correct,False,False,False,False,2
316,both_correct,False,False,False,False,2
317,both_wrong,False,False,False,True,2
318,both_correct,False,False,False,False,2
319,both_correct,False,False,False,False,2
320,both_correct,False,False,False,False,2
321,both_correct,False,False,False,False,2
322,both_correct,False,False,False,False,2
323,both_correct,False,False,False,False,2
324,both_correct,False,False,False,False,4
325,both_correct,False,False,False,False,2
326,both_correct,False,False,True,False,3
327,both_wrong,False,True,True,False,2
328,adaptive_only,False,False,True,True,3
329,both_correct,False,False,False,False,2
330,both_correct,False,False,False,False,2
331,both_correct,False,False,False,False,2
332,both_correct,False,False,False,True,16
333,both_correct,False,False,True,False,2
334,both_correct,False,False,False,False,2
335,both_correct,False,False,False,False,2
336,both_correct,False,False,False,False,2
337,both_correct,False,False,False,False,2
338,both_correct,False,False,False,False,2
339,both_correct,False,False,False,False,2
340,both_wrong,False,False,True,False,16
341,both_correct,False,False,False,False,2
342,both_correct,False,False,False,False,2
343,both_correct,False,False,False,False,2
344,both_correct,False,False,False,False,2
345,both_correct,False,False,False,False,2
346,both_correct,False,False,False,False,2
347,both_correct,False,False,False,False,2
348,both_correct,False,False,False,False,2
349,both_wrong,False,False,False,True,2
350,both_correct,False,False,False,False,2
351,both_wrong,False,True,False,False,2
352,both_wrong,False,True,True,False,2
353,both_correct,False,False,False,False,2
354,both_correct,False,False,False,False,4
355,both_wrong,False,True,True,False,16
356,both_correct,False,False,False,False,2
357,both_correct,False,False,False,True,6
358,both_correct,False,False,False,True,4
359,both_correct,False,False,True,False,2
360,both_correct,False,False,False,False,2
361,both_correct,False,False,False,False,2
362,both_correct,False,False,False,False,2
363,both_correct,False,False,False,False,2
364,both_correct,False,False,False,False,2
365,both_wrong,False,True,False,False,2
366,both_correct,False,False,False,False,2
367,both_correct,False,False,False,False,2
368,both_correct,False,False,False,False,2
369,both_wrong,False,False,False,True,6
370,both_correct,False,False,False,False,2
371,both_wrong,False,True,True,True,16
372,both_wrong,False,True,False,True,16
373,both_correct,False,False,False,False,2
