category,correct_at_stop,invalid_rate_at_stop,model,n16_correct,policy_id,question_index,stop_budget
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,0,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,1,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,2,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,3,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,4,4
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,4,4
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,5,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,6,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,7,6
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,8,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,8,3
stable_wrong_despite_max_compute,False,0.125,logistic,False,logistic_start2_every_sample_selected,9,16
invalid_answer_driven_uncertainty,False,0.125,logistic,False,logistic_start2_every_sample_selected,9,16
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,10,2
unnecessary_continuation_in_hindsight,False,0.375,logistic,False,logistic_start2_every_sample_selected,11,16
stable_wrong_despite_max_compute,False,0.375,logistic,False,logistic_start2_every_sample_selected,11,16
invalid_answer_driven_uncertainty,False,0.375,logistic,False,logistic_start2_every_sample_selected,11,16
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,12,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,13,2
unnecessary_continuation_in_hindsight,False,0.0,logistic,False,logistic_start2_every_sample_selected,14,4
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,15,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,16,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,16,3
correct_early_stop,True,0.0,logistic,False,logistic_start2_every_sample_selected,17,4
regression_avoided,True,0.0,logistic,False,logistic_start2_every_sample_selected,17,4
correct_early_stop,True,0.0,logistic,False,logistic_start2_every_sample_selected,18,2
regression_avoided,True,0.0,logistic,False,logistic_start2_every_sample_selected,18,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,19,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,20,2
invalid_answer_driven_uncertainty,True,0.125,logistic,True,logistic_start2_every_sample_selected,21,16
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,22,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,23,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,24,10
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,24,10
unnecessary_continuation_in_hindsight,False,0.6666666666666666,logistic,False,logistic_start2_every_sample_selected,25,3
invalid_answer_driven_uncertainty,False,0.6666666666666666,logistic,False,logistic_start2_every_sample_selected,25,3
unnecessary_continuation_in_hindsight,False,0.0,logistic,False,logistic_start2_every_sample_selected,26,11
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,27,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,28,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,28,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,29,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,30,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,31,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,32,2
stable_wrong_despite_max_compute,False,0.0,logistic,False,logistic_start2_every_sample_selected,33,16
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,34,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,35,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,36,7
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,37,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,38,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,39,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,40,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,42,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,42,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,44,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,45,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,45,3
correct_early_stop,True,0.5,logistic,True,logistic_start2_every_sample_selected,46,2
invalid_answer_driven_uncertainty,True,0.5,logistic,True,logistic_start2_every_sample_selected,46,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,47,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,48,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,48,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,49,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,50,13
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,51,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,52,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,53,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,54,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,55,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,56,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,57,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,58,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,59,2
invalid_answer_driven_uncertainty,False,0.75,logistic,False,logistic_start2_every_sample_selected,60,4
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,61,2
stable_wrong_despite_max_compute,False,0.0,logistic,False,logistic_start2_every_sample_selected,62,16
correct_early_stop,True,0.42857142857142855,logistic,True,logistic_start2_every_sample_selected,64,14
invalid_answer_driven_uncertainty,True,0.42857142857142855,logistic,True,logistic_start2_every_sample_selected,64,14
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,65,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,66,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,67,7
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,67,7
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,68,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,69,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,70,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,71,7
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,72,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,72,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,73,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,74,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,74,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,75,2
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,76,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,76,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,77,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,78,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,79,2
unnecessary_continuation_in_hindsight,False,0.0,logistic,False,logistic_start2_every_sample_selected,80,4
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,81,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,82,12
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,83,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,84,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,85,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,86,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,87,2
unnecessary_continuation_in_hindsight,True,0.25,logistic,True,logistic_start2_every_sample_selected,88,4
correct_early_stop,True,0.25,logistic,True,logistic_start2_every_sample_selected,88,4
invalid_answer_driven_uncertainty,True,0.25,logistic,True,logistic_start2_every_sample_selected,88,4
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,89,4
unnecessary_continuation_in_hindsight,False,0.0,logistic,False,logistic_start2_every_sample_selected,90,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,91,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,92,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,93,2
invalid_answer_driven_uncertainty,False,0.5,logistic,False,logistic_start2_every_sample_selected,94,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,95,2
invalid_answer_driven_uncertainty,False,0.5,logistic,False,logistic_start2_every_sample_selected,96,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,97,2
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,98,2
invalid_answer_driven_uncertainty,False,0.5,logistic,False,logistic_start2_every_sample_selected,99,2
invalid_answer_driven_uncertainty,False,0.16666666666666666,logistic,False,logistic_start2_every_sample_selected,100,12
unnecessary_continuation_in_hindsight,False,0.6666666666666666,logistic,False,logistic_start2_every_sample_selected,101,3
invalid_answer_driven_uncertainty,False,0.6666666666666666,logistic,False,logistic_start2_every_sample_selected,101,3
unnecessary_continuation_in_hindsight,True,0.0,logistic,True,logistic_start2_every_sample_selected,102,3
correct_early_stop,True,0.0,logistic,True,logistic_start2_every_sample_selected,102,3
stable_wrong_despite_max_compute,False,0.5625,logistic,False,logistic_start2_every_sample_selected,103,16
invalid_answer_driven_uncertainty,False,0.5625,logistic,False,logistic_start2_every_sample_selected,103,16
